instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,snapshot_source,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,trade_amount_btc,trades_in_lookback,contracts_traded_lookback,trade_amount_btc_lookback,creation_ts_ms,instrument_state
BTC-12MAR26-67000-C,call,67000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-67000-P,put,67000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-67500-C,call,67500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-67500-P,put,67500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-68000-C,call,68000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-68000-P,put,68000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-68500-C,call,68500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-68500-P,put,68500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-69000-C,call,69000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-69000-P,put,69000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-69500-C,call,69500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-69500-P,put,69500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-70000-C,call,70000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-70000-P,put,70000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-70500-C,call,70500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1773063240000,delivered
BTC-12MAR26-70500-P,put,70500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1773063240000,delivered
BTC-12MAR26-71000-C,call,71000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-71000-P,put,71000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-72000-C,call,72000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-72000-P,put,72000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-73000-C,call,73000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-73000-P,put,73000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-74000-C,call,74000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-74000-P,put,74000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-75000-C,call,75000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-75000-P,put,75000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-76000-C,call,76000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772965200000,delivered
BTC-12MAR26-76000-P,put,76000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772965200000,delivered
BTC-13MAR26-50000-C,call,50000.0,1773388800000,2026-03-13T08:00:00Z,0.00912617,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772217767000,open
